OID_,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,OBJECTID,Join_Count,TARGET_FID,AREA,PERIMETER,DIST0228_,DIST0228_I,DISTNUMBER,DIST_NAME,Shape_Length,Shape_Area_1
20,56090,56090,B5,G6350,S,119371894.000000000000000,1368528.000000000000000,+43.9563544,-094.2440398,96891.231985899998108,120673327.556999996304512,21,1,20,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,96891.231985903301393,120673327.556554585695267
21,56091,56091,B5,G6350,S,50117335.000000000000000,654503.000000000000000,+43.9274334,-093.6813349,41293.361356699999305,50735020.411499999463558,22,1,21,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,41293.361356734807487,50735020.411513470113277
22,56093,56093,B5,G6350,S,465078498.000000000000000,8437407.000000000000000,+44.0625663,-093.5197621,164043.298443999985466,473157405.603999972343445,23,1,22,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,164043.298443780338857,473157405.604115903377533
23,56096,56096,B5,G6350,S,138552642.000000000000000,11944246.000000000000000,+44.2448890,-093.6034661,86254.068293799995445,150385012.937000006437302,24,1,23,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,86254.068293762757094,150385012.937076389789581
24,56097,56097,B5,G6350,S,476671611.000000000000000,6385731.000000000000000,+43.7209677,-093.7132820,137768.052043000003323,482710856.309000015258789,25,1,24,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,137768.052042793133296,482710856.309250891208649
25,56098,56098,B5,G6350,S,286892746.000000000000000,7523516.000000000000000,+43.7930160,-094.1817663,103379.983603999993647,294246885.124000012874603,26,1,25,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,103379.983603889981168,294246885.124481678009033
26,56101,56101,B5,G6350,S,450291247.000000000000000,9259384.000000000000000,+43.8797265,-095.1338252,154295.899200999992900,459516588.898000001907349,27,1,26,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,154295.899201259744586,459516588.898230850696564
27,56110,56110,B5,G6350,S,278885381.000000000000000,597252.000000000000000,+43.6222212,-095.9450514,104861.242626000006567,279646650.462000012397766,28,1,27,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,104861.242626265739091,279646650.461914956569672
28,56111,56111,B5,G6350,S,129874170.000000000000000,9696.000000000000000,+43.6393571,-094.8827134,87007.823683399998117,129853596.017000004649162,29,1,28,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,87007.823683377850102,129853596.017231896519661
29,56113,56113,B5,G6350,S,94339280.000000000000000,1799853.000000000000000,+44.3954147,-096.1531684,56832.011662500000966,96211429.701800003647804,30,1,29,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,56832.011662483018881,96211429.701791241765022
